experiment,experiment_dir,model,category,dataset,idx,score,true_label,pred_label,image_id,path
coldstart_csflow_polymer_sheet_Polymer_sheet,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 4\coldstart_csflow_polymer_sheet_Polymer_sheet,csflow,Polymer_sheet,polymer_sheet,50,27302.060546875,1,1,000559_1387_2024327-165221_FALSE_T0000_01_CAM,
coldstart_csflow_polymer_sheet_Polymer_sheet,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 4\coldstart_csflow_polymer_sheet_Polymer_sheet,csflow,Polymer_sheet,polymer_sheet,51,6868.4462890625,1,1,000411_1225_2024327-16562_FALSE_T0000_01_CAM,
coldstart_csflow_polymer_sheet_Polymer_sheet,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 4\coldstart_csflow_polymer_sheet_Polymer_sheet,csflow,Polymer_sheet,polymer_sheet,52,6232.7568359375,1,1,000275_1126_2024327-165530_FALSE_T0000_01_CAM,
coldstart_csflow_polymer_sheet_Polymer_sheet,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 4\coldstart_csflow_polymer_sheet_Polymer_sheet,csflow,Polymer_sheet,polymer_sheet,53,23597.21875,1,1,000371_1201_2024327-16536_FALSE_T0000_01_CAM,
coldstart_csflow_polymer_sheet_Polymer_sheet,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 4\coldstart_csflow_polymer_sheet_Polymer_sheet,csflow,Polymer_sheet,polymer_sheet,54,8918.98828125,1,1,000504_1307_2024330-0329_FALSE_T0000_01_CAM,
coldstart_csflow_polymer_sheet_Polymer_sheet,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 4\coldstart_csflow_polymer_sheet_Polymer_sheet,csflow,Polymer_sheet,polymer_sheet,55,22378.990234375,1,1,000485_1289_2024327-165246_FALSE_T0000_01_CAM,
coldstart_csflow_polymer_sheet_Polymer_sheet,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 4\coldstart_csflow_polymer_sheet_Polymer_sheet,csflow,Polymer_sheet,polymer_sheet,56,62567.859375,1,1,000632_1574_2024328-20317_FALSE_T0000_01_CAM,
coldstart_csflow_polymer_sheet_Polymer_sheet,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 4\coldstart_csflow_polymer_sheet_Polymer_sheet,csflow,Polymer_sheet,polymer_sheet,57,6329.54736328125,1,1,000372_1201_2024327-165449_FALSE_T0000_01_CAM,
coldstart_csflow_polymer_sheet_Polymer_sheet,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 4\coldstart_csflow_polymer_sheet_Polymer_sheet,csflow,Polymer_sheet,polymer_sheet,58,4781.81494140625,1,1,000289_1140_2024327-165549_FALSE_T0000_01_CAM,
coldstart_csflow_polymer_sheet_Polymer_sheet,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 4\coldstart_csflow_polymer_sheet_Polymer_sheet,csflow,Polymer_sheet,polymer_sheet,59,9549.103515625,1,1,000333_1171_2024327-165629_FALSE_T0000_01_CAM,
